Date,InvoiceId,Qty,Freight,LineAmount1,InvoiceCat,CustomerName,State,City,Year,Month,Day,Y-M,WeekDay
2018-09-28,DD-1819/475,2.0,0.0,313.62,DD-1819,Customer 30,GJ,AHMEDABAD,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6328,144.0,107.63,34264.37,SGE-1819,Customer 53,PB,LUDHIANA,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6321,12.0,7.74,3489.31,SGE-1819,Customer 90,MH,MUMBAI,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6323,12.0,6.0,2855.36,SGE-1819,Customer 53,PB,LUDHIANA,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6317,100.0,80.24,29077.56,SGE-1819,Customer 77,JH,JAMSHEDPUR,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6327,504.0,353.69,97776.0,SGE-1819,Customer 64,TS,SECUNDRABAD,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6313,50.0,38.85,13316.3,SGE-1819,Customer 48,UP,SONEBHANDRA,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6329,50.0,39.08,13534.6,SGE-1819,Customer 126,CT,RAIGARH,2018,09,28,2018-09,Friday
2018-09-30,DD-1819/482,1.0,0.0,156.81,DD-1819,Customer 30,GJ,AHMEDABAD,2018,09,30,2018-09,Sunday
2018-09-30,DD-1819/484,50.0,0.0,7841.0,DD-1819,Customer 129,MH,PATALGANGA,2018,09,30,2018-09,Sunday
2018-10-07,SGE-1819/3678,2.0,0.0,563.57,SGE-1819,Customer 70,JH,JAMSHEDPUR,2018,10,07,2018-10,Sunday
2018-10-08,DD-1819/348,50.0,0.0,7840.5,DD-1819,Customer 1,GJ,JAMNAGAR,2018,10,08,2018-10,Monday
2018-10-10,SGE-1819/6763,10.0,0.0,2932.1,SGE-1819,Customer 112,MP,KATNI,2018,10,10,2018-10,Wednesday
2018-10-15,SGE-1819/6955,252.0,176.84,48888.0,SGE-1819,Customer 52,MH,MUMBAI,2018,10,15,2018-10,Monday
2018-10-15,SGE-1819/6956,252.0,176.84,48888.0,SGE-1819,Customer 52,MH,MUMBAI,2018,10,15,2018-10,Monday
2018-10-16,SGE-1819/6974,504.0,353.69,97776.0,SGE-1819,Customer 20,GJ,AHMEDABAD,2018,10,16,2018-10,Tuesday
2018-10-16,SGE-1819/7007,504.0,364.51,97776.0,SGE-1819,Customer 136,DN,SILVASSA,2018,10,16,2018-10,Tuesday
2018-10-16,SGE-1819/7017,2520.0,1752.71,473760.0,SGE-1819,Customer 4,RJ,JAIPUR,2018,10,16,2018-10,Tuesday
2018-10-16,SGE-1819/6975,504.0,353.69,97776.0,SGE-1819,Customer 16,MP,BHOPAL,2018,10,16,2018-10,Tuesday
2018-10-16,SGE-1819/6988,504.0,252.0,97776.0,SGE-1819,Customer 63,GJ,VERAVAL,2018,10,16,2018-10,Tuesday
2018-10-16,DD-1819/507,500.0,0.0,78405.0,DD-1819,Customer 46,GJ,BHARUCH,2018,10,16,2018-10,Tuesday
2018-10-17,SGE-1819/7054,48.0,50.16,12259.73,SGE-1819,Customer 39,UP,MEERUT,2018,10,17,2018-10,Wednesday
2018-10-18,SGE-1819/7096,12.0,0.0,3489.31,SGE-1819,Customer 137,MH,PUNE,2018,10,18,2018-10,Thursday
2018-10-18,SGE-1819/7089,504.0,353.69,97776.0,SGE-1819,Customer 138,MH,NASHIK,2018,10,18,2018-10,Thursday
2018-10-18,SGE-1819/7074,48.0,26.62,12259.73,SGE-1819,Customer 39,UP,MEERUT,2018,10,18,2018-10,Thursday
