InvoiceDate,InvoiceId,SalesUNit,Qty,NetWeight,CustomerName,LineAmount1,Freight,City,State,ItemName,ProductCategory
29-10-2019,SGE-1920/006132,BKT,5,100,Customer 90,15577.5,16.2,MUMBAI,MH,Item 1,Category 1
29-10-2019,SGE-1920/006137,KIT,100,1800,Customer 33,682950,6084.73,BHILWARA,RJ,Item 4,Category 2
30-10-2019,SGE-1920/006161,BKT,50,1000,Customer 56,340000,1413.6,AHMEDABAD,GJ,Item 1,Category 1
30-10-2019,SGE-1920/006160,BKT,75,1500,Customer 154,475200,2084.21,AHMEDABAD,GJ,Item 1,Category 1
30-10-2019,SGE-1920/006159,BKT,15,300,Customer 208,171600,496.46,Coimbatore,TN,Item 1,Category 1
31-10-2019,DD-1920/000246,CAN,50,20.75,Customer 46,8500,0,BHARUCH,GJ,Item 5,Category 3
31-10-2019,DD-1920/000249,CAN,20,8.3,Customer 65,3400,0,VADODARA,GJ,Item 5,Category 3
31-10-2019,SGE-1920/006416,CAN,1008,418.32,Customer 24,197568,773.47,BHARUCH,GJ,Item 5,Category 3
31-10-2019,SGE-1920/006335,SET,5,120,Customer 75,122927.9,270.86,JHARSUGUDA,OR,Item 2,Category 2
31-10-2019,SGE-1920/006284,BKT,20,400,Customer 75,133056,563.38,JHARSUGUDA,OR,Item 1,Category 1
31-10-2019,SGE-1920/006251,BKT,25,500,Customer 16,130500,667.72,BHOPAL,MP,Item 1,Category 1
31-10-2019,SGE-1920/006206,CAN,48,19.92,Customer 53,11421.46,25.93,LUDHIANA,PB,Item 5,Category 3
31-10-2019,SGE-1920/006434,SET,6,144,Customer 56,147882.24,318.8,AHMEDABAD,GJ,Item 3,Category 2
31-10-2019,SGE-1920/006307,BKT,220,4400,Customer 126,1122000,8510.97,RAIGARH,CT,Item 1,Category 1
31-10-2019,SGE-1920/006307,KIT,179.5,3231,Customer 126,403875,3063.61,RAIGARH,CT,Item 4,Category 2
31-10-2019,SGE-1920/006302,CAN,505,209.58,Customer 95,101000,390.04,CHENNAI,TN,Item 5,Category 3
31-10-2019,SGE-1920/006386,CAN,36,14.94,Customer 48,11407.33,24.01,SONEBHANDRA,UP,Item 5,Category 3
31-10-2019,SGE-1920/006231,BKT,23,460,Customer 3,316828.86,817.5,RUDRAPUR,UT,Item 1,Category 1
31-10-2019,SGE-1920/006355,CAN,2000,830,Customer 4,392000,1532.68,JAIPUR,RJ,Item 5,Category 3
31-10-2019,SGE-1920/006424,SET,9,216,Customer 77,424524.67,733.27,JAMSHEDPUR,JH,Item 2,Category 2
31-10-2019,SGE-1920/006272,SET,20,480,Customer 77,943388.16,1524.06,JAMSHEDPUR,JH,Item 2,Category 2
31-10-2019,SGE-1920/006252,SET,9,216,Customer 77,424524.67,683.12,JAMSHEDPUR,JH,Item 2,Category 2
31-10-2019,SGE-1920/006322,CAN,180,74.7,Customer 110,25848,0,GURGAON,HR,Item 5,Category 3
31-10-2019,SGE-1920/006360,BKT,5,100,Customer 206,58493.6,171.48,LUCKNOW,UP,Item 1,Category 1
31-10-2019,SGE-1920/006250,CAN,1512,627.48,Customer 21,296352,1096.57,BHARUCH,GJ,Item 5,Category 3
31-10-2019,SGE-1920/006438,SET,3,72,Customer 21,83825.28,311.01,BHARUCH,GJ,Item 2,Category 2
31-10-2019,SGE-1920/006328,SET,15,360,Customer 170,368783.71,812.51,ANGUL,OR,Item 2,Category 2
31-10-2019,SGE-1920/006281,CAN,140,58.1,Customer 80,43031.3,124.75,RAIPUR,CT,Item 5,Category 3
31-10-2019,SGE-1920/006304,CAN,24,9.96,Customer 98,6270.32,13,PANIPAT,HR,Item 5,Category 3
31-10-2019,SGE-1920/006430,KIT,100,1800,Customer 112,360450,2197.44,KATNI,MP,Item 4,Category 2
31-10-2019,SGE-1920/006430,BKT,49,980,Customer 112,251370,1532.44,KATNI,MP,Item 1,Category 1
31-10-2019,SGE-1920/006314,CAN,1010,419.15,Customer 155,197960,773.88,JAMSHEDPUR,JH,Item 5,Category 3
31-10-2019,SGE-1920/006235,CAN,24,9.96,Customer 188,6805.51,7.08,NEW DELHI,DL,Item 5,Category 3
